Team,Shutout Percentage,Scoring Offense,Shots Per Game,Goals Against Average,Points Per Game,Save Percentage,Win-Loss-Tied Percentage,Assists Per Game,Fouls Per Game,Yellow Cards,Penalty Kicks,Red Cards,Corner Kicks Per Game,Shot Accuracy,Saves per Game,Shots on Goal Per Game,Total Assists,Total Goals,Total Points
Coastal Carolina,.400,.60,10.00,1.000,1.40,.815,.400,.20,7.00,9,1.000,,4.00,.360,4.40,3.60,1,3,7
Col. of Charleston,.200,1.00,15.60,1.400,2.60,.731,.300,.60,8.20,1,.000,,6.20,.333,3.80,5.20,3,5,13
Colgate,.167,1.17,8.67,1.333,3.33,.789,.417,1.00,5.50,1,.000,,4.50,.519,5.00,4.50,6,7,20
Colorado,.167,4.33,15.50,.833,13.00,.833,.917,4.33,8.00,4,1.000,,4.33,.527,4.17,8.17,26,26,78
Colorado Col.,.500,1.00,10.67,.833,2.83,.857,.500,.83,9.17,4,.000,,4.50,.516,5.00,5.50,5,6,17
Colorado St.,.800,1.60,11.20,.200,4.40,.957,1.000,1.20,10.20,7,.000,,5.40,.429,4.40,4.80,6,8,22
Columbia,.200,.60,8.20,1.600,1.80,.600,.200,.60,6.20,3,.000,,4.60,.415,2.40,3.40,3,3,9
Cornell,.400,1.00,12.20,1.000,2.40,.783,.600,.40,11.80,6,.000,1,5.00,.475,3.60,5.80,2,5,12
Creighton,.000,.60,8.20,1.800,1.60,.667,.200,.40,13.80,4,1.000,,1.80,.512,3.60,4.20,2,3,8
Dartmouth,.750,3.50,19.25,.500,10.00,.800,.875,3.00,12.00,4,.000,,7.00,.584,2.00,11.25,12,14,40
Davidson,.600,1.20,11.00,.600,3.20,.857,.700,.80,6.40,2,.000,,5.40,.364,3.60,4.00,4,6,16
Dayton,.667,.50,12.83,.833,1.67,.839,.500,.67,8.83,4,.000,,5.17,.481,4.33,6.17,4,3,10
DePaul,.167,1.33,12.50,1.333,3.50,.652,.333,.83,10.00,9,.000,,3.00,.440,2.50,5.50,5,8,21
Delaware,.429,2.29,12.86,.857,6.86,.818,.929,2.29,5.43,2,1.000,,4.86,.444,3.86,5.71,16,16,48
Delaware St.,.200,1.00,10.00,2.000,2.40,.737,.400,.40,9.80,3,.000,1,2.80,.560,5.60,5.60,2,5,12
Denver,.333,1.33,12.67,.833,4.17,.865,.583,1.50,9.33,4,.000,1,3.00,.434,5.33,5.50,9,8,25
Detroit Mercy,.000,.67,4.67,3.500,1.33,.588,.167,,11.17,5,1.000,,1.50,.321,5.00,1.50,,4,8
